Trajectory_ID,Time_Index,ID_LV,Type_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Spatial_Gap,Spatial_Headway,Speed_Diff
115,3.9,-1,0,96.7954631,20.17905045,0.056552887,0,78.68887501,19.94327164,4.104862213,13.2731094,18.10658809,0.235778809
116,0,-1,0,32.2191057,20.15535355,-0.011043549,0,0,19.93250465,0,27.38809751,32.2191057,0.222848892
116,0.1,-1,0,34.19010463,20.15424919,0.077285767,0,1.993250465,19.93250465,0.687561035,27.35742979,32.19685416,0.221744537
116,0.2,-1,0,36.17131362,20.16197777,0.107460022,0,3.989938736,20.00126076,1.316204071,27.33989105,32.18137488,0.16071701
116,0.3,-1,0,38.17332444,20.17272377,0.081443787,0,5.996645832,20.13288116,-1.894645691,27.33937664,32.17667861,0.039842606
116,0.4,-1,0,40.15507344,20.18086815,-0.005893707,0,8.00046072,19.9434166,3.552837372,27.32997793,32.15461272,0.237451553
116,0.5,-1,0,42.1775116,20.18027878,-0.022335052,0,10.01256657,20.29870033,-3.802108765,27.33005204,32.16494503,-0.118421555
116,0.6,-1,0,44.16267768,20.17804527,0.04776001,0,12.02342606,19.91848946,-1.464748383,27.29217783,32.13925162,0.259555817
116,0.7,-1,0,46.10708357,20.18282127,-0.010738373,0,14.00795126,19.77201462,2.390117645,27.27326728,32.09913231,0.410806656
116,0.8,-1,0,48.07866705,20.18174744,-0.072441101,0,15.99710331,20.01102638,2.487049103,27.26721815,32.08156374,0.170721054
116,0.9,-1,0,50.0992426,20.17450333,0.031223297,0,18.01064119,20.25973129,-3.269329071,27.25313073,32.08860141,-0.085227966
116,1,-1,0,52.08402894,20.17762566,0.085296631,0,20.02026768,19.93279839,1.513576508,27.22794631,32.06376126,0.244827271
116,1.1,-1,0,54.07397789,20.18615532,0.035209656,0,22.0211154,20.08415604,-0.292930603,27.22146591,32.05286249,0.101999283
116,1.2,-1,0,56.06760624,20.18967628,-0.023670197,0,24.02806635,20.05486298,0.534152985,27.20845301,32.03953989,0.134813309
116,1.3,-1,0,58.06621954,20.18730927,-0.092315674,0,26.03622341,20.10827827,0.098571777,27.18921992,32.02999612,0.079030991
116,1.4,-1,0,60.07028647,20.1780777,-0.002803802,0,28.0475441,20.11813545,-0.874671936,27.18242966,32.02274237,0.059942245
116,1.5,-1,0,62.06149544,20.17779732,0.04529953,0,30.05498428,20.03066826,1.311473846,27.17033906,32.00651116,0.147129059
116,1.6,-1,0,64.06824816,20.18232727,0.078983307,0,32.06460848,20.16181564,-3.659305573,27.15361594,32.00363968,0.020511627
116,1.7,-1,0,66.02556479,20.1902256,0.077171326,0,34.06249352,19.79588509,4.684658051,27.13075177,31.96307127,0.394340515
116,1.8,-1,0,68.03371709,20.19794273,-0.049228668,0,36.06550531,20.26435089,0.067653656,27.11959947,31.96821178,-0.066408157
116,1.9,-1,0,70.06857565,20.19301987,-0.014953613,0,38.09227867,20.27111626,-3.194065094,27.13914116,31.97629697,-0.07809639
116,2,-1,0,72.05600143,20.19152451,0.039482117,0,40.10341997,19.95170975,0.490627289,27.10004836,31.95258146,0.239814758
116,2.1,-1,0,74.03450615,20.19547272,0.101928711,0,42.10104408,20.00077248,-0.188121796,27.08127157,31.93346207,0.194700241
116,2.2,-1,0,76.01374456,20.20566559,0.114555359,0,44.10018072,19.9819603,1.410579681,27.06156503,31.91356383,0.223705292
116,2.3,-1,0,78.01172127,20.21712112,-0.076274872,0,46.10542965,20.12301826,-1.463794708,27.05141391,31.90629162,0.094102859
116,2.4,-1,0,79.9936658,20.20949364,-0.129070282,0,48.1104125,19.97663879,1.170845032,27.02369566,31.88325329,0.232854843
116,2.5,-1,0,81.98795351,20.19658661,-0.01783371,0,50.11393061,20.0937233,-0.785388947,27.01454943,31.8740229,0.102863312
116,2.6,-1,0,83.97679938,20.19480324,0.143241882,0,52.11937599,20.0151844,2.346897125,27.00441106,31.85742339,0.179618835
116,2.7,-1,0,85.99670422,20.20912743,0.066127777,0,54.13262892,20.24987411,-2.394199371,27.01651276,31.86407531,-0.040746689
116,2.8,-1,0,87.9900777,20.2157402,-0.035953522,0,56.14564533,20.01045418,-0.491123199,26.98429538,31.84443237,0.205286026
